iter	Passed	Remaining
0	217	217714
1	335	167648
2	454	150914
3	569	141800
4	687	136855
5	808	134016
6	925	131242
7	1036	128574
8	1152	12690899	1259	124652110	1370	123221
11	1478	121726112	1597	121276113	1711	120509
14	1822	119684
15	1929	118668
16	2042	118087
17	2151	117386
18	2251	116252119	2358	115543220	2466	114995221	2576	114517222	2691	114335223	2805	114078224	2916	113736225	3022	113216226	3140	113180227	3241	112519228	3351	112215229	3459	111860330	3583	112018331	3690	111638332	3804	111497333	3920	111401334	4026	111013335	4145	111016336	4252	110690337	4368	110599338	4486	110545339	4596	110318440	4717	110338441	4836	110321442	4945	110055443	5047	109659444	5154	109381445	5264	109174446	5374	108986447	5484	108781448	5607	108833449	5726	108804550	5842	108708551	5951	108505552	6063	108349553	6172	108140554	6283	107960555	6393	107774556	6503	107594557	6610	107361558	6726	107285559	6838	107142660	6952	107022661	7056	106757662	7164	106561663	7283	106524664	7395	106383
65	7515	106356
66	7634	106310
67	7747	106183
68	7854	105976
69	7962	105785
70	8064	105525
71	8171	105326
72	8289	105267
73	8396	105072
74	8506	104913
75	8610	104681
76	8732	104676
77	8843	104528
78	8957	104427
79	9063	104234
80	9180	104157
81	9290	104007
82	9409	103961
83	9511	103720
84	9634	103708
85	9752	103647
86	9862	103503
87	9974	103376
88	10087	103257
89	10190	103033
90	10292	102810
91	10414	102782
92	10520	102605
93	10632	102479
94	10747	102382
95	10852	102195
96	10970	102128
97	11084	102020
98	11198	101917
99	11309	101784
100	11421	101662
101	11525	101470
102	11638	101357
103	11751	101242
104	11840	100924
105	11949	1007821106	12056	1006171107	12165	1004811108	12272	1003211109	12384	1001991110	12499	1001111111	12608	99964
112	12727	99903
113	12827	99695
114	12937	99560
115	13048	99441
116	13155	99288
117	13258	99102
118	13372	98998
119	13474	98814
120	13581	98661
121	13689	98521
122	13798	98384
123	13910	98271
124	14018	98131
125	14129	98008
126	14241	97892
127	14355	97795
128	14459	97631
129	14575	97543
130	14690	97450
131	14801	97329
132	14913	97218
133	15023	97094
134	15136	96987
135	15251	96893
136	15364	96782
137	15476	96670
138	15588	96560
139	15699	96437
140	15804	96282
141	15901	96082
142	16018	96001
143	16143	95964
144	16251	95825
145	16344	95605
146	16451	95462
147	16551	95281
148	16666	95190
149	16767	95016
150	16875	94882
151	16980	94730
152	17088	94598
153	17199	94487
154	17289	94253
155	17372	93987
156	17476	93836
157	17585	93715
158	17698	93612
159	17807	93489
160	17904	93303
161	18009	93159
162	18114	93017
163	18223	92896
164	18330	92763
165	18428	92586
166	18534	92451
167	18612	92174
168	18719	92045
169	18822	91896
170	18922	91736
171	19032	91621
172	19134	91470
173	19254	91402
174	19358	91260
175	19468	91149
176	19576	91023
177	19671	90843
178	19777	90712
179	19882	90576
180	19988	90446
181	20091	90301
182	20199	90180
183	20310	90073
184	20411	89919
185	20514	89777
186	20623	89662
187	20736	89563
188	20842	89435
189	20950	89317
190	21061	89206
191	21179	89129
192	21294	89039
193	21383	88842
194	21494	88734
195	21573	88495
196	21690	88415
197	21804	88318
198	21900	88153
199	22004	88019
200	22119	87927
201	22236	87846
202	22342	87719
203	22445	87579
204	22549	87447
205	22653	87314
206	22771	87237
207	22877	87111
208	22989	87007
209	23093	86876
210	23204	86768
211	23285	86551
212	23367	86338
213	23447	86120
214	23543	85960
215	23654	85857
216	23757	85724
217	23840	85520
218	23917	85293
219	24003	85104
220	24097	84939
221	24181	84744
222	24295	84653
223	24406	84552
224	24516	84444
225	24609	84283
226	24698	84106
227	24779	83901
228	24858	83694
229	24939	83492
230	25023	83303
231	25111	83127
232	25186	82909
233	25265	82706
234	25338	82486
235	25421	82296
236	25490	82062
237	25579	81897
238	25670	81736
239	25752	81549
240	25834	81363
241	25914	81169
242	26004	81009
243	26083	80816
244	26174	80658
245	26254	80471
246	26347	80322
247	26442	80180
248	26526	80006
249	26623	79871
250	26701	79678
251	26784	79501
252	26875	79352
253	26957	79174
254	27048	79023
255	27131	78850
256	27215	78682
257	27299	78512
258	27375	78320
259	27457	78147
260	27540	77979
261	27638	77853
262	27736	77724
